country	continent	year	lifeExp	pop	gdpPercap
Iran	Asia	1967	48.15	11958601	2648.07
Iran	Asia	1972	49.00	12281484	2801.65
Iran	Asia	1977	49.85	12613084	2964.15
Iran	Asia	1982	50.70	12953637	3136.07
Iran	Asia	1987	51.55	13303385	3317.96
Iran	Asia	1992	52.40	13662576	3510.40
Iran	Asia	1997	53.25	14031466	3714.01
Iran	Asia	2002	54.10	14410316	3929.42
Iran	Asia	2007	54.95	14799394	4157.33
Iraq	Asia	1952	46.20	11880000	2392.00
Iraq	Asia	1957	47.10	12248279	2545.09
Iraq	Asia	1962	48.00	12627976	2707.97
Iraq	Asia	1967	48.90	13019443	2881.28
Iraq	Asia	1972	49.80	13423046	3065.69
Iraq	Asia	1977	50.70	13839161	3261.89
Iraq	Asia	1982	51.60	14268175	3470.65
Iraq	Asia	1987	52.50	14710488	3692.77
Iraq	Asia	1992	53.40	15166513	3929.11
Iraq	Asia	1997	54.30	15636675	4180.57
Iraq	Asia	2002	55.20	16121412	4448.13
Iraq	Asia	2007	56.10	16621176	4732.81
Israel	Asia	1952	53.30	17808000	6115.20
Israel	Asia	1957	54.30	18217584	6414.84
Israel	Asia	1962	55.30	18636588	6729.17
Israel	Asia	1967	56.30	19065229	7058.90
Israel	Asia	1972	57.30	19503730	7404.79
Israel	Asia	1977	58.30	19952316	7767.62
Israel	Asia	1982	59.30	20411219	8148.24
Israel	Asia	1987	60.30	20880677	8547.50
Israel	Asia	1992	61.30	21360932	8966.33
Israel	Asia	1997	62.30	21852234	9405.68
Israel	Asia	2002	63.30	22354835	9866.56
Israel	Asia	2007	64.30	22868997	10350.02
Japan	Asia	1952	53.90	18984000	6489.60
Japan	Asia	1957	54.95	19496568	6846.53
Japan	Asia	1962	56.00	20022975	7223.09
Japan	Asia	1967	57.05	20563595	7620.36
Japan	Asia	1972	58.10	21118812	8039.48
Japan	Asia	1977	59.15	21689020	8481.65
Japan	Asia	1982	60.20	22274624	8948.14
Japan	Asia	1987	61.25	22876039	9440.29
Japan	Asia	1992	62.30	23493692	9959.50
Japan	Asia	1997	63.35	24128021	10507.27
Japan	Asia	2002	64.40	24779478	11085.17
Japan	Asia	2007	65.45	25448524	11694.86
Jordan	Asia	1952	42.00	6000000	1300.00
Jordan	Asia	1957	42.80	6185999	1375.40
Jordan	Asia	1962	43.60	6377765	1455.17
Jordan	Asia	1967	44.40	6575476	1539.57
Jordan	Asia	1972	45.20	6779316	1628.87
Jordan	Asia	1977	46.00	6989475	1723.34
Jordan	Asia	1982	46.80	7206149	1823.30
Jordan	Asia	1987	47.60	7429539	1929.05
Jordan	Asia	1992	48.40	7659855	2040.93
Jordan	Asia	1997	49.20	7897310	2159.31
Jordan	Asia	2002	50.00	8142127	2284.55
Jordan	Asia	2007	50.80	8394533	2417.05
Korea Rep	Asia	1952	42.60	6840000	1456.00
Korea Rep	Asia	1957	43.45	6997320	1549.18
Korea Rep	Asia	1962	44.30	7158258	1648.33
Korea Rep	Asia	1967	45.15	7322898	1753.83
Korea Rep	Asia	1972	46.00	7491324	1866.07
Korea Rep	Asia	1977	46.85	7663625	1985.50
Korea Rep	Asia	1982	47.70	7839888	2112.57
Korea Rep	Asia	1987	48.55	8020206	2247.77
Korea Rep	Asia	1992	49.40	8204671	2391.63
Korea Rep	Asia	1997	50.25	8393378	2544.70
Korea Rep	Asia	2002	51.10	8586426	2707.56
Korea Rep	Asia	2007	51.95	8783913	2880.84
Malaysia	Asia	1952	43.20	7680000	1612.00
Malaysia	Asia	1957	44.10	7887359	1686.15
Malaysia	Asia	1962	45.00	8100318	1763.71
Malaysia	Asia	1967	45.90	8319027	1844.85
Malaysia	Asia	1972	46.80	8543641	1929.71
Malaysia	Asia	1977	47.70	8774319	2018.48
Malaysia	Asia	1982	48.60	9011225	2111.33
Malaysia	Asia	1987	49.50	9254529	2208.45
Malaysia	Asia	1992	50.40	9504401	2310.03
Malaysia	Asia	1997	51.30	9761020	2416.30
Malaysia	Asia	2002	52.20	10024567	2527.45
Malaysia	Asia	2007	53.10	10295231	2643.71
Nepal	Asia	1952	43.80	8520000	1768.00
Nepal	Asia	1957	44.75	8784120	1859.94
Nepal	Asia	1962	45.70	9056427	1956.65
Nepal	Asia	1967	46.65	9337176	2058.40
Nepal	Asia	1972	47.60	9626629	2165.44
Nepal	Asia	1977	48.55	9925054	2278.04
Nepal	Asia	1982	49.50	10232731	2396.50
Nepal	Asia	1987	50.45	10549946	2521.11
Nepal	Asia	1992	51.40	10876994	2652.21
Nepal	Asia	1997	52.35	11214181	2790.13
Nepal	Asia	2002	53.30	11561821	2935.21
Nepal	Asia	2007	54.25	11920237	3087.84
Pakistan	Asia	1952	44.40	9360000	1924.00
Pakistan	Asia	1957	45.40	9575280	2035.59
Pakistan	Asia	1962	46.40	9795511	2153.66
Pakistan	Asia	1967	47.40	10020808	2278.57
Pakistan	Asia	1972	48.40	10251286	2410.73
Pakistan	Asia	1977	49.40	10487066	2550.55
Pakistan	Asia	1982	50.40	10728268	2698.48
Pakistan	Asia	1987	51.40	10975019	2854.99
Pakistan	Asia	1992	52.40	11227444	3020.58
Pakistan	Asia	1997	53.40	11485675	3195.77
Pakistan	Asia	2002	54.40	11749846	3381.13
Pakistan	Asia	2007	55.40	12020092	3577.23
France	Europe	1952	69.50	7140000	16128.00
France	Europe	1957	70.05	7254240	16998.91
France	Europe	1962	70.60	7370307	17916.85
France	Europe	1967	71.15	7488232	18884.36
France	Europe	1972	71.70	7608044	19904.12
France	Europe	1977	72.25	7729773	20978.94
France	Europe	1982	72.80	7853449	22111.80
France	Europe	1987	73.35	7979104	23305.84
France	Europe	1992	73.90	8106770	24564.36
France	Europe	1997	74.45	8236478	25890.83
France	Europe	2002	75.00	8368262	27288.94
France	Europe	2007	75.55	8502154	28762.54
Germany	Europe	1952	70.10	7727999	17337.60
Germany	Europe	1957	70.70	7882559	17961.75
Germany	Europe	1962	71.30	8040211	18608.38
Germany	Europe	1967	71.90	8201015	19278.28
Germany	Europe	1972	72.50	8365035	19972.30
Germany	Europe	1977	73.10	8532336	20691.30
Germany	Europe	1982	73.70	8702983	21436.19
Germany	Europe	1987	74.30	8877042	22207.89
Germany	Europe	1992	74.90	9054583	23007.37
Germany	Europe	1997	75.50	9235675	23835.64
Germany	Europe	2002	76.10	9420388	24693.72
Germany	Europe	2007	76.70	9608796	25582.69
Greece	Europe	1952	64.20	5940000	7728.00
Greece	Europe	1957	64.80	6011280	8029.39
Greece	Europe	1962	65.40	6083415	8342.54
Greece	Europe	1967	66.00	6156416	8667.90
Greece	Europe	1972	66.60	6230293	9005.95
Greece	Europe	1977	67.20	6305056	9357.18
Greece	Europe	1982	67.80	6380717	9722.11
Greece	Europe	1987	68.40	6457286	10101.27
Greece	Europe	1992	69.00	6534773	10495.22
Greece	Europe	1997	69.60	6613190	10904.53
Greece	Europe	2002	70.20	6692549	11329.81
Greece	Europe	2007	70.80	6772859	11771.67
Italy	Europe	1952	71.30	8904000	19756.80
Italy	Europe	1957	72.00	9046464	20705.13
Italy	Europe	1962	72.70	9191207	21698.97
Italy	Europe	1967	73.40	9338266	22740.52
Italy	Europe	1972	74.10	9487679	23832.07
Italy	Europe	1977	74.80	9639481	24976.01
Italy	Europe	1982	75.50	9793713	26174.86
Italy	Europe	1987	76.20	9950413	27431.25
Italy	Europe	1992	76.90	10109619	28747.95
Italy	Europe	1997	77.60	10271373	30127.85
Italy	Europe	2002	78.30	10435715	31573.99
Italy	Europe	2007	79.00	10602686	33089.54
Netherlands	Europe	1952	71.90	9492000	20966.40
Netherlands	Europe	1957	72.65	9681840	22098.59
Netherlands	Europe	1962	73.40	9875476	23291.91
Netherlands	Europe	1967	74.15	10072986	24549.67
Netherlands	Europe	1972	74.90	10274446	25875.35
Netherlands	Europe	1977	75.65	10479934	27272.62
Netherlands	Europe	1982	76.40	10689533	28745.35
Netherlands	Europe	1987	77.15	10903324	30297.59
Netherlands	Europe	1992	77.90	11121390	31933.66
Netherlands	Europe	1997	78.65	11343818	33658.08
Netherlands	Europe	2002	79.40	11570695	35475.62
Netherlands	Europe	2007	80.15	11802108	37391.30
Norway	Europe	1952	66.50	4200000	10080.00
Norway	Europe	1957	67.05	4250400	10442.88
Norway	Europe	1962	67.60	4301404	10818.82
Norway	Europe	1967	68.15	4353021	11208.30
Norway	Europe	1972	68.70	4405257	11611.80
Norway	Europe	1977	69.25	4458121	12029.82
Norway	Europe	1982	69.80	4511618	12462.90
Norway	Europe	1987	70.35	4565757	12911.56
Norway	Europe	1992	70.90	4620546	13376.38
Norway	Europe	1997	71.45	4675993	13857.93
Norway	Europe	2002	72.00	4732105	14356.81
Norway	Europe	2007	72.55	4788890	14873.66
Spain	Europe	1952	60.60	3420000	4704.00
Spain	Europe	1957	61.15	3474720	4887.46
Spain	Europe	1962	61.70	3530315	5078.07
Spain	Europe	1967	62.25	3586800	5276.11
Spain	Europe	1972	62.80	3644189	5481.88
Spain	Europe	1977	63.35	3702496	5695.67
Spain	Europe	1982	63.90	3761736	5917.80
Spain	Europe	1987	64.45	3821924	6148.60
Spain	Europe	1992	65.00	3883074	6388.39
Spain	Europe	1997	65.55	3945204	6637.54
Spain	Europe	2002	66.10	4008327	6896.41
Spain	Europe	2007	66.65	4072460	7165.37
United Kingdom	Europe	1952	67.70	5376000	12499.20
United Kingdom	Europe	1957	68.35	5483520	13099.16
United Kingdom	Europe	1962	69.00	5593190	13727.92
United Kingdom	Europe	1967	69.65	5705054	14386.86
United Kingdom	Europe	1972	70.30	5819155	15077.43
United Kingdom	Europe	1977	70.95	5935538	15801.15
United Kingdom	Europe	1982	71.60	6054249	16559.60
United Kingdom	Europe	1987	72.25	6175334	17354.46
United Kingdom	Europe	1992	72.90	6298840	18187.48
United Kingdom	Europe	1997	73.55	6424817	19060.48
United Kingdom	Europe	2002	74.20	6553314	19975.38
United Kingdom	Europe	2007	74.85	6684380	20934.20
Australia	Oceania	1952	72.30	2982000	16972.80
Australia	Oceania	1957	72.90	3026729	17872.36
Australia	Oceania	1962	73.50	3072130	18819.59
Australia	Oceania	1967	74.10	3118212	19817.03
Australia	Oceania	1972	74.70	3164986	20867.33
Australia	Oceania	1977	75.30	3212460	21973.30
Australia	Oceania	1982	75.90	3260647	23137.89
Australia	Oceania	1987	76.50	3309557	24364.20
Australia	Oceania	1992	77.10	3359200	25655.50
Australia	Oceania	1997	77.70	3409588	27015.24
Australia	Oceania	2002	78.30	3460732	28447.05
Australia	Oceania	2007	78.90	3512643	29954.74
New Zealand	Oceania	1952	72.90	3276000	18470.40
New Zealand	Oceania	1957	73.55	3338243	19116.86
New Zealand	Oceania	1962	74.20	3401670	19785.95
New Zealand	Oceania	1967	74.85	3466302	20478.46
New Zealand	Oceania	1972	75.50	3532162	21195.21
New Zealand	Oceania	1977	76.15	3599273	21937.04
New Zealand	Oceania	1982	76.80	3667659	22704.84
New Zealand	Oceania	1987	77.45	3737344	23499.51
New Zealand	Oceania	1992	78.10	3808354	24321.99
New Zealand	Oceania	1997	78.75	3880713	25173.26
New Zealand	Oceania	2002	79.40	3954446	26054.32
New Zealand	Oceania	2007	80.05	4029581	26966.22
