ID,Sector,WorkFromHome,HoursWorkedPerDay,MeetingsPerDay,CommuteChange,StressLevel,ProductivityChange,HealthIssues,ChildcareResponsibilities,SalaryChange,JobSecurity,TechnologyAdaptation,CollaborationChallenges,ProductivityResilienceIndex,Age,YearsExperience,StressLevel_Numeric,ProductivityChange_Numeric,TechAdaptation_Numeric,CollaborationChallenges_Numeric,JobSecurity_Numeric,WorkFromHome_Numeric,HealthIssues_Numeric,ChildcareResponsibilities_Numeric
829,Education,True,8.6,4,Decreased,Low,Increased,False,True,No Change,Secure,Excellent,Minor,100.0,54,3,1,1,4,1,2,1,0,1
830,Education,True,6.3,7,Decreased,High,Decreased,True,False,Decreased,At Risk,Good,Minor,7.8,40,11,3,-1,3,1,0,1,1,0
831,Healthcare,True,10.5,3,Decreased,High,Decreased,False,False,Decreased,Uncertain,Poor,Minor,30.1,42,16,3,-1,1,1,1,1,0,0
832,IT,False,7.8,2,No Change,Medium,Increased,False,False,Decreased,Secure,Excellent,Minor,84.5,35,2,2,1,4,1,2,0,0,0
833,Retail,False,7.2,5,Increased,Medium,Increased,False,True,No Change,Secure,Excellent,None,82.0,23,3,2,1,4,0,2,0,0,1
834,Finance,True,6.7,8,Decreased,High,Increased,True,False,Decreased,Uncertain,Good,Moderate,31.6,57,9,3,1,3,2,1,1,1,0
835,Education,False,10.1,4,Decreased,High,Decreased,True,False,No Change,Secure,Good,None,57.3,23,3,3,-1,3,0,2,0,1,0
836,IT,False,8.0,5,No Change,Low,No Change,False,False,No Change,Secure,Good,None,97.4,45,14,1,0,3,0,2,0,0,0
837,Education,True,9.1,4,Decreased,Medium,No Change,False,False,No Change,Secure,Excellent,Minor,90.9,47,25,2,0,4,1,2,1,0,0
838,Retail,True,6.9,5,Decreased,High,No Change,False,False,No Change,Uncertain,Excellent,Minor,52.0,30,10,3,0,4,1,1,1,0,0
839,Retail,False,8.2,2,Increased,High,Increased,False,False,Decreased,Uncertain,Good,Moderate,59.9,55,16,3,1,3,2,1,0,0,0
840,Education,True,9.7,6,Decreased,High,Increased,False,False,Increased,Secure,Excellent,Moderate,68.4,62,15,3,1,4,2,2,1,0,0
841,Healthcare,True,8.6,3,Decreased,High,No Change,False,False,No Change,At Risk,Good,Minor,28.2,24,4,3,0,3,1,0,1,0,0
842,Healthcare,True,6.8,4,Decreased,High,Decreased,False,True,No Change,At Risk,Excellent,Minor,22.0,38,1,3,-1,4,1,0,1,0,1
843,Finance,True,8.5,3,Decreased,Low,No Change,False,False,Increased,At Risk,Excellent,None,74.0,52,19,1,0,4,0,0,1,0,0
844,IT,True,10.0,3,Decreased,Medium,Decreased,True,False,Increased,Secure,Good,Severe,62.8,47,2,2,-1,3,3,2,1,1,0
845,Education,True,7.2,7,Decreased,Low,No Change,False,False,Increased,Uncertain,Poor,Moderate,64.9,55,17,1,0,1,2,1,1,0,0
846,Education,True,8.0,4,Decreased,Medium,Increased,False,True,No Change,Uncertain,Good,Severe,54.7,25,3,2,1,3,3,1,1,0,1
847,Retail,True,8.4,6,Decreased,High,Decreased,False,True,Decreased,Uncertain,Excellent,Moderate,53.6,62,10,3,-1,4,2,1,1,0,1
848,IT,False,9.0,3,Decreased,Medium,No Change,False,True,No Change,Secure,Fair,Minor,74.9,50,8,2,0,2,1,2,0,0,1
849,Retail,True,9.2,3,Decreased,High,Increased,False,True,Decreased,Secure,Good,Moderate,73.7,38,18,3,1,3,2,2,1,0,1
850,IT,True,10.4,5,Decreased,Medium,No Change,False,False,No Change,Uncertain,Excellent,Severe,76.2,50,25,2,0,4,3,1,1,0,0
851,Healthcare,True,10.6,4,No Change,High,Increased,False,False,Decreased,Secure,Good,Moderate,68.9,34,14,3,1,3,2,2,1,0,0
852,Healthcare,True,8.5,4,Decreased,Medium,Decreased,False,False,No Change,Uncertain,Fair,Moderate,53.2,52,14,2,-1,2,2,1,1,0,0
853,Healthcare,True,8.8,3,No Change,High,No Change,False,False,No Change,Uncertain,Good,Minor,41.4,26,6,3,0,3,1,1,1,0,0
854,IT,True,7.6,4,Decreased,Low,Increased,False,True,Decreased,Uncertain,Good,Minor,83.1,29,9,1,1,3,1,1,1,0,1
855,Finance,True,7.3,4,Decreased,Low,Increased,False,True,No Change,Secure,Excellent,Moderate,100.0,36,9,1,1,4,2,2,1,0,1
856,Retail,True,6.8,5,Decreased,Medium,Decreased,True,True,Increased,Secure,Excellent,Minor,67.2,35,15,2,-1,4,1,2,1,1,1
857,IT,True,8.2,4,Decreased,Medium,Decreased,False,True,No Change,Secure,Excellent,Moderate,83.6,24,4,2,-1,4,2,2,1,0,1
858,Education,True,10.3,6,Decreased,Medium,Decreased,False,False,No Change,Uncertain,Good,Severe,55.7,33,5,2,-1,3,3,1,1,0,0
859,Retail,False,6.6,5,Decreased,High,Decreased,True,False,No Change,At Risk,Fair,Minor,4.9,40,20,3,-1,2,1,0,0,1,0
860,Finance,True,9.5,5,Decreased,Medium,Increased,False,False,Decreased,Secure,Excellent,Moderate,97.2,57,18,2,1,4,2,2,1,0,0
861,Healthcare,True,7.2,3,Decreased,Medium,Decreased,False,False,No Change,Uncertain,Fair,Moderate,62.5,23,3,2,-1,2,2,1,1,0,0
862,IT,True,6.6,3,Decreased,High,Decreased,False,False,Decreased,Uncertain,Excellent,Minor,60.2,49,27,3,-1,4,1,1,1,0,0
863,Retail,True,9.8,4,No Change,High,No Change,True,True,Increased,Secure,Good,Moderate,45.7,37,17,3,0,3,2,2,1,1,1
864,Healthcare,True,9.4,6,No Change,High,No Change,False,False,Increased,Secure,Good,Severe,63.2,48,22,3,0,3,3,2,1,0,0
865,Healthcare,False,7.9,2,No Change,High,Decreased,True,True,Increased,Secure,Fair,Minor,39.8,54,14,3,-1,2,1,2,0,1,1
866,Finance,True,7.5,3,Decreased,High,No Change,False,False,No Change,At Risk,Excellent,Minor,30.0,60,8,3,0,4,1,0,1,0,0
867,IT,True,6.8,8,No Change,Medium,Decreased,False,True,Decreased,Secure,Good,Moderate,87.0,37,9,2,-1,3,2,2,1,0,1
868,Education,True,7.0,8,Decreased,Medium,No Change,False,False,No Change,Uncertain,Good,Moderate,59.8,31,11,2,0,3,2,1,1,0,0
869,Finance,True,9.7,6,Decreased,Medium,Decreased,False,True,No Change,Uncertain,Good,Severe,58.9,44,8,2,-1,3,3,1,1,0,1
870,Finance,True,6.0,3,No Change,Low,No Change,False,False,Increased,Uncertain,Fair,Severe,77.0,40,6,1,0,2,3,1,1,0,0
871,Retail,True,9.2,7,No Change,High,Decreased,False,False,Increased,Uncertain,Good,Moderate,56.2,26,6,3,-1,3,2,1,1,0,0
872,Finance,True,6.6,3,Decreased,Medium,Increased,False,False,Increased,Uncertain,Excellent,None,77.9,51,12,2,1,4,0,1,1,0,0
873,IT,True,9.7,5,Decreased,High,Increased,True,False,No Change,Secure,Good,Moderate,49.4,35,15,3,1,3,2,2,1,1,0
874,IT,True,6.4,8,Decreased,Low,No Change,False,True,No Change,Uncertain,Good,Moderate,83.8,28,8,1,0,3,2,1,1,0,1
875,Healthcare,True,7.7,5,Decreased,Medium,Decreased,True,True,No Change,Secure,Excellent,Minor,69.3,54,22,2,-1,4,1,2,1,1,1
876,Finance,True,6.4,8,Decreased,High,No Change,False,False,No Change,At Risk,Fair,Minor,15.3,34,14,3,0,2,1,0,1,0,0
877,Healthcare,True,6.0,4,Decreased,Medium,Decreased,False,False,No Change,At Risk,Excellent,None,56.7,46,19,2,-1,4,0,0,1,0,0
878,IT,True,6.3,4,No Change,Low,Increased,False,False,Decreased,Secure,Good,Minor,100.0,50,20,1,1,3,1,2,1,0,0
879,Education,True,10.7,4,Decreased,Medium,Decreased,False,True,No Change,Uncertain,Poor,Minor,34.9,50,15,2,-1,1,1,1,1,0,1
880,Healthcare,True,9.6,5,Decreased,Medium,Decreased,False,True,No Change,At Risk,Fair,Moderate,39.3,46,18,2,-1,2,2,0,1,0,1
881,IT,True,6.0,4,Decreased,Low,No Change,False,False,No Change,Secure,Excellent,Moderate,100.0,42,22,1,0,4,2,2,1,0,0
882,Education,True,8.8,4,Decreased,Medium,No Change,False,True,Increased,Uncertain,Good,Severe,55.1,33,13,2,0,3,3,1,1,0,1
883,Finance,True,9.9,8,Decreased,High,Decreased,False,True,Decreased,Uncertain,Poor,Moderate,28.3,29,4,3,-1,1,2,1,1,0,1
884,Retail,False,8.0,3,Decreased,Medium,Decreased,False,False,Increased,At Risk,Poor,None,20.5,39,14,2,-1,1,0,0,0,0,0
885,IT,True,6.8,7,Decreased,High,No Change,False,False,Decreased,Uncertain,Good,Minor,41.0,56,8,3,0,3,1,1,1,0,0
886,Finance,True,9.1,7,Decreased,Medium,Decreased,True,True,No Change,Secure,Poor,None,51.6,27,7,2,-1,1,0,2,1,1,1
887,Retail,True,10.1,3,Decreased,High,Decreased,False,False,Increased,Secure,Fair,None,54.2,26,6,3,-1,2,0,2,1,0,0
888,Finance,True,9.6,3,Decreased,High,Increased,True,False,Decreased,At Risk,Good,Minor,12.3,44,10,3,1,3,1,0,1,1,0
889,IT,True,6.8,3,Decreased,Low,Increased,False,True,Increased,Secure,Good,Severe,98.0,43,14,1,1,3,3,2,1,0,1
890,IT,True,7.8,5,Decreased,High,No Change,False,False,Decreased,Secure,Excellent,None,66.5,49,5,3,0,4,0,2,1,0,0
891,Education,True,9.1,6,Decreased,High,No Change,False,True,Decreased,Uncertain,Good,Severe,53.3,44,24,3,0,3,3,1,1,0,1
892,Finance,True,6.3,4,Decreased,Low,Increased,True,False,Decreased,At Risk,Poor,Severe,20.5,40,18,1,1,1,3,0,1,1,0
893,Healthcare,True,8.5,8,Decreased,Medium,Decreased,False,False,Decreased,Secure,Excellent,Minor,88.2,55,4,2,-1,4,1,2,1,0,0
894,IT,True,9.9,5,No Change,High,Decreased,True,False,No Change,Uncertain,Excellent,Minor,41.0,28,8,3,-1,4,1,1,1,1,0
895,Finance,True,10.0,4,No Change,High,Decreased,False,False,Increased,Secure,Fair,Moderate,54.9,53,7,3,-1,2,2,2,1,0,0
896,Finance,True,10.8,4,Decreased,High,No Change,False,False,No Change,Uncertain,Poor,Severe,34.6,59,28,3,0,1,3,1,1,0,0
897,Finance,True,9.6,6,Decreased,High,Increased,True,False,No Change,Uncertain,Excellent,Moderate,38.1,34,14,3,1,4,2,1,1,1,0
898,Retail,True,10.3,8,Decreased,Medium,Decreased,True,True,No Change,Uncertain,Poor,Severe,15.9,31,11,2,-1,1,3,1,1,1,1
899,Education,False,10.0,5,Decreased,Medium,No Change,False,True,No Change,Secure,Good,Moderate,80.4,35,13,2,0,3,2,2,0,0,1
900,IT,True,7.4,8,Decreased,Low,Increased,False,False,No Change,Secure,Good,Moderate,100.0,36,16,1,1,3,2,2,1,0,0
901,IT,False,8.7,3,Increased,Low,Increased,False,False,Increased,Secure,Excellent,None,100.0,38,17,1,1,4,0,2,0,0,0
902,IT,True,8.0,7,Decreased,Low,No Change,True,False,Increased,At Risk,Fair,Minor,36.7,28,8,1,0,2,1,0,1,1,0
903,Healthcare,True,7.3,4,Decreased,High,Decreased,False,True,No Change,Secure,Poor,Moderate,51.3,56,10,3,-1,1,2,2,1,0,1
904,Education,True,8.7,7,No Change,Medium,No Change,False,False,Increased,Uncertain,Good,Severe,73.5,39,10,2,0,3,3,1,1,0,0
905,Healthcare,True,7.2,5,Decreased,Medium,No Change,False,False,No Change,Uncertain,Excellent,Moderate,77.5,40,2,2,0,4,2,1,1,0,0
906,Retail,True,8.3,5,Decreased,High,No Change,False,False,No Change,Secure,Excellent,Severe,74.3,25,5,3,0,4,3,2,1,0,0
907,Healthcare,False,10.3,4,Decreased,High,No Change,False,False,Increased,Secure,Good,Severe,66.0,33,13,3,0,3,3,2,0,0,0
908,Healthcare,True,7.8,5,Decreased,High,No Change,True,False,No Change,Secure,Poor,Minor,40.4,33,6,3,0,1,1,2,1,1,0
909,IT,True,8.6,5,No Change,High,Increased,False,False,No Change,Secure,Good,None,77.2,28,8,3,1,3,0,2,1,0,0
910,Healthcare,False,8.7,4,Increased,Medium,No Change,False,True,No Change,Uncertain,Fair,Minor,41.7,37,1,2,0,2,1,1,0,0,1
911,Finance,True,8.6,4,Decreased,High,Increased,False,False,No Change,Secure,Good,Severe,74.3,31,11,3,1,3,3,2,1,0,0
912,Finance,True,9.9,6,Decreased,High,Increased,False,True,No Change,Uncertain,Good,Moderate,43.8,22,2,3,1,3,2,1,1,0,1
913,Education,False,11.0,3,Decreased,Medium,Increased,False,False,No Change,Uncertain,Good,Minor,63.4,57,15,2,1,3,1,1,0,0,0
914,Retail,True,9.1,3,Decreased,High,No Change,True,True,Increased,Uncertain,Good,Severe,23.5,53,30,3,0,3,3,1,1,1,1
915,Education,True,10.9,7,Decreased,High,Increased,False,False,Increased,Uncertain,Fair,None,48.7,61,6,3,1,2,0,1,1,0,0
916,Finance,True,6.3,5,Decreased,High,No Change,False,False,No Change,Secure,Excellent,None,67.3,61,12,3,0,4,0,2,1,0,0
917,Healthcare,True,8.1,3,Decreased,High,No Change,False,False,Decreased,Secure,Good,Moderate,74.5,62,19,3,0,3,2,2,1,0,0
918,Finance,True,9.9,3,Decreased,Low,Increased,False,True,Decreased,Uncertain,Good,Minor,65.2,59,11,1,1,3,1,1,1,0,1
919,Finance,True,9.4,5,Decreased,High,Decreased,False,False,No Change,At Risk,Excellent,Minor,41.7,58,2,3,-1,4,1,0,1,0,0
920,Retail,True,10.9,3,No Change,Medium,Decreased,False,False,Decreased,Secure,Good,Severe,94.4,55,8,2,-1,3,3,2,1,0,0
921,Finance,False,6.3,2,Decreased,High,Increased,False,False,Decreased,At Risk,Fair,Minor,28.3,36,4,3,1,2,1,0,0,0,0
922,Healthcare,True,9.7,4,No Change,Medium,No Change,False,False,Decreased,Secure,Fair,Minor,69.7,55,18,2,0,2,1,2,1,0,0
923,Education,True,10.3,8,Decreased,High,Increased,False,True,Decreased,Secure,Good,Severe,74.2,29,9,3,1,3,3,2,1,0,1
924,IT,True,6.5,3,No Change,Low,No Change,True,True,Increased,At Risk,Excellent,Moderate,41.2,43,8,1,0,4,2,0,1,1,1
925,Finance,True,9.7,6,Decreased,High,No Change,False,True,No Change,At Risk,Fair,Moderate,9.8,58,29,3,0,2,2,0,1,0,1
926,IT,False,8.8,3,Decreased,Low,No Change,False,False,No Change,Uncertain,Excellent,None,90.2,33,9,1,0,4,0,1,0,0,0
927,Retail,True,9.6,8,Decreased,High,Decreased,False,False,No Change,Secure,Fair,Moderate,55.3,46,5,3,-1,2,2,2,1,0,0
928,IT,True,6.9,8,Decreased,Medium,No Change,True,True,Decreased,Secure,Excellent,None,72.8,43,3,2,0,4,0,2,1,1,1
929,IT,True,10.6,8,No Change,Low,Increased,False,False,No Change,Uncertain,Fair,Severe,67.9,51,7,1,1,2,3,1,1,0,0
930,Education,True,8.0,3,Decreased,High,Increased,False,False,No Change,Secure,Excellent,Moderate,79.0,48,25,3,1,4,2,2,1,0,0
931,Healthcare,True,7.4,5,No Change,Medium,Decreased,False,False,No Change,Secure,Good,None,92.6,49,14,2,-1,3,0,2,1,0,0
932,Finance,True,8.7,4,Decreased,Medium,Decreased,True,True,No Change,At Risk,Excellent,Moderate,29.9,34,14,2,-1,4,2,0,1,1,1
933,Finance,True,9.1,6,Decreased,Medium,Increased,False,True,Increased,At Risk,Excellent,Minor,45.7,27,7,2,1,4,1,0,1,0,1
934,Retail,True,10.8,5,No Change,High,Decreased,True,False,Decreased,Secure,Fair,Severe,43.1,60,22,3,-1,2,3,2,1,1,0
935,Retail,True,7.4,4,Decreased,High,Decreased,False,False,No Change,At Risk,Fair,Severe,23.1,26,6,3,-1,2,3,0,1,0,0
936,Finance,True,10.8,4,Decreased,High,Increased,False,False,No Change,Secure,Fair,Severe,69.3,32,7,3,1,2,3,2,1,0,0
937,Finance,True,7.1,3,Decreased,High,Decreased,False,True,No Change,Secure,Excellent,Severe,71.6,44,1,3,-1,4,3,2,1,0,1
938,Education,False,7.7,2,Decreased,Medium,Decreased,False,False,Decreased,Secure,Good,None,88.1,31,9,2,-1,3,0,2,0,0,0
939,Healthcare,True,9.4,5,Decreased,Medium,Increased,True,False,No Change,Secure,Excellent,Moderate,77.2,58,22,2,1,4,2,2,1,1,0
940,Finance,True,8.0,6,Decreased,Medium,Increased,False,False,No Change,Secure,Good,Severe,83.2,49,13,2,1,3,3,2,1,0,0
941,IT,True,8.1,5,No Change,High,Increased,False,False,Decreased,Secure,Fair,Severe,60.5,26,6,3,1,2,3,2,1,0,0
942,Education,True,7.2,8,Decreased,Low,Increased,True,False,No Change,At Risk,Excellent,Severe,42.8,39,19,1,1,4,3,0,1,1,0
943,Finance,True,8.4,8,Decreased,High,No Change,False,True,No Change,Uncertain,Good,Minor,35.3,49,3,3,0,3,1,1,1,0,1
944,Healthcare,False,6.4,2,No Change,Medium,Decreased,False,False,Increased,Secure,Good,Moderate,83.6,34,14,2,-1,3,2,2,0,0,0
945,Education,False,6.9,4,Decreased,Low,No Change,False,False,No Change,Secure,Excellent,Minor,100.0,42,8,1,0,4,1,2,0,0,0
946,Education,False,10.1,2,Decreased,High,Decreased,False,True,Decreased,Secure,Excellent,Minor,66.3,44,7,3,-1,4,1,2,0,0,1
947,IT,True,10.2,3,Decreased,Medium,Increased,True,False,No Change,Secure,Excellent,None,83.8,47,14,2,1,4,0,2,1,1,0
948,Retail,True,10.8,3,Decreased,High,Decreased,False,True,No Change,Secure,Good,Severe,62.9,50,21,3,-1,3,3,2,1,0,1
949,Healthcare,True,8.1,4,Decreased,High,Decreased,True,True,No Change,Uncertain,Good,Minor,22.4,38,18,3,-1,3,1,1,1,1,1
950,Finance,True,6.8,7,Decreased,Low,Decreased,True,True,Decreased,Secure,Good,Moderate,88.2,35,1,1,-1,3,2,2,1,1,1
951,Finance,True,6.3,7,Decreased,Medium,Increased,True,True,No Change,Secure,Excellent,None,68.8,60,12,2,1,4,0,2,1,1,1
952,Healthcare,True,10.4,7,Decreased,High,Decreased,False,False,Decreased,Secure,Good,Severe,72.1,26,4,3,-1,3,3,2,1,0,0
953,Education,True,9.8,3,Decreased,High,Increased,False,False,No Change,At Risk,Fair,None,16.6,43,20,3,1,2,0,0,1,0,0
954,Education,True,7.7,5,No Change,High,Increased,False,False,Decreased,Secure,Excellent,Moderate,68.6,33,9,3,1,4,2,2,1,0,0
955,Retail,True,10.2,7,Decreased,High,Decreased,False,True,No Change,At Risk,Excellent,Moderate,39.8,27,7,3,-1,4,2,0,1,0,1
956,Healthcare,True,6.3,3,Decreased,Medium,No Change,False,True,No Change,Secure,Excellent,Minor,88.1,53,9,2,0,4,1,2,1,0,1
957,Education,False,10.0,4,Increased,High,No Change,False,False,Increased,Uncertain,Good,None,43.2,24,4,3,0,3,0,1,0,0,0
958,Education,True,9.3,6,Decreased,High,No Change,False,True,No Change,Secure,Poor,Moderate,52.3,23,0,3,0,1,2,2,1,0,1
959,Retail,True,8.3,7,Decreased,Medium,No Change,False,False,No Change,Secure,Good,None,88.6,31,11,2,0,3,0,2,1,0,0
960,Healthcare,True,7.7,3,Decreased,High,Decreased,True,True,Decreased,Uncertain,Poor,Moderate,6.9,44,2,3,-1,1,2,1,1,1,1
961,Retail,True,9.5,6,Decreased,High,No Change,False,True,Decreased,Uncertain,Excellent,Severe,41.4,49,22,3,0,4,3,1,1,0,1
962,Healthcare,True,8.2,3,Decreased,High,Decreased,False,False,Increased,Secure,Good,Moderate,60.7,25,5,3,-1,3,2,2,1,0,0
963,IT,True,7.6,3,No Change,Medium,No Change,False,True,No Change,Secure,Excellent,Minor,80.4,32,1,2,0,4,1,2,1,0,1
964,Retail,True,10.8,5,Decreased,High,Decreased,True,False,Decreased,Uncertain,Good,Minor,39.9,62,14,3,-1,3,1,1,1,1,0
965,IT,True,10.9,7,Decreased,Medium,No Change,False,True,Decreased,Secure,Excellent,Moderate,90.7,52,3,2,0,4,2,2,1,0,1
966,Healthcare,True,10.9,4,Decreased,High,Decreased,True,True,Decreased,Uncertain,Good,None,33.5,60,30,3,-1,3,0,1,1,1,1
967,Finance,True,7.9,7,Decreased,Low,No Change,True,False,Increased,At Risk,Fair,Moderate,37.7,25,5,1,0,2,2,0,1,1,0
968,Education,True,9.2,3,Decreased,High,Decreased,True,False,Decreased,At Risk,Fair,Severe,0.0,31,11,3,-1,2,3,0,1,1,0
969,Healthcare,True,6.7,3,Decreased,High,Increased,True,True,No Change,Uncertain,Excellent,Minor,37.4,41,18,3,1,4,1,1,1,1,1
970,Healthcare,False,6.0,3,Increased,High,Decreased,False,False,Increased,Secure,Fair,Moderate,55.2,38,10,3,-1,2,2,2,0,0,0
971,Healthcare,True,8.6,3,Decreased,High,Increased,False,False,No Change,Secure,Good,Moderate,76.8,37,17,3,1,3,2,2,1,0,0
972,IT,True,9.8,6,Decreased,High,No Change,False,False,Decreased,Uncertain,Good,Minor,47.1,30,9,3,0,3,1,1,1,0,0
973,Finance,False,6.2,4,Increased,Medium,Decreased,False,False,Increased,Secure,Good,None,92.9,31,11,2,-1,3,0,2,0,0,0
974,Healthcare,True,10.9,5,Decreased,High,Decreased,False,False,Decreased,Uncertain,Excellent,Severe,46.4,50,0,3,-1,4,3,1,1,0,0
975,Education,True,8.5,3,Decreased,High,Decreased,False,False,No Change,Secure,Fair,Severe,69.6,49,6,3,-1,2,3,2,1,0,0
976,IT,True,9.0,3,Decreased,High,Increased,False,False,Decreased,Secure,Excellent,None,79.1,59,2,3,1,4,0,2,1,0,0
977,Healthcare,True,6.3,4,Decreased,Medium,No Change,False,False,Increased,Secure,Excellent,Moderate,98.5,31,11,2,0,4,2,2,1,0,0
978,Healthcare,True,6.9,3,No Change,High,Decreased,False,True,No Change,Secure,Good,Moderate,64.8,36,15,3,-1,3,2,2,1,0,1
979,IT,True,10.8,6,Decreased,Medium,Increased,True,False,Increased,Uncertain,Excellent,Minor,54.3,58,20,2,1,4,1,1,1,1,0
980,IT,True,8.4,4,Decreased,High,No Change,False,False,No Change,Uncertain,Excellent,Severe,48.9,54,25,3,0,4,3,1,1,0,0
981,Retail,True,9.1,3,Decreased,Medium,No Change,True,True,Decreased,Uncertain,Poor,Minor,30.8,51,12,2,0,1,1,1,1,1,1
982,Healthcare,True,8.2,6,Decreased,High,Decreased,False,False,No Change,Secure,Poor,Severe,40.7,37,17,3,-1,1,3,2,1,0,0
983,Healthcare,True,10.1,7,Decreased,High,Decreased,False,False,No Change,Secure,Fair,Severe,60.0,27,6,3,-1,2,3,2,1,0,0
984,Retail,False,10.0,5,Decreased,High,No Change,False,False,No Change,At Risk,Fair,Minor,28.2,58,19,3,0,2,1,0,0,0,0
985,Finance,True,8.2,8,Decreased,Low,Increased,False,False,No Change,Secure,Fair,None,83.8,29,9,1,1,2,0,2,1,0,0
986,IT,True,10.8,5,Decreased,Medium,Decreased,False,False,Increased,Secure,Excellent,None,97.1,38,14,2,-1,4,0,2,1,0,0
987,IT,True,10.7,3,Decreased,High,Increased,False,True,Decreased,Uncertain,Fair,Moderate,34.3,59,27,3,1,2,2,1,1,0,1
988,Retail,True,9.8,3,Decreased,High,No Change,False,False,Decreased,Secure,Fair,Severe,67.1,28,8,3,0,2,3,2,1,0,0
989,IT,True,8.6,6,No Change,Medium,Increased,False,False,No Change,Secure,Good,Minor,93.9,43,23,2,1,3,1,2,1,0,0
990,Retail,True,9.2,3,Decreased,Medium,Decreased,False,False,Increased,At Risk,Excellent,Moderate,44.4,28,8,2,-1,4,2,0,1,0,0
991,IT,True,9.5,3,Decreased,High,Increased,True,False,No Change,Uncertain,Fair,None,24.6,49,13,3,1,2,0,1,1,1,0
992,Healthcare,True,7.2,7,No Change,High,Increased,False,False,Decreased,Secure,Good,None,67.6,62,1,3,1,3,0,2,1,0,0
993,Education,True,10.5,5,No Change,Medium,Decreased,False,False,Decreased,Secure,Excellent,Moderate,93.6,60,27,2,-1,4,2,2,1,0,0
994,Finance,True,9.7,7,Decreased,High,No Change,False,False,No Change,Uncertain,Excellent,Severe,59.6,58,15,3,0,4,3,1,1,0,0
995,Healthcare,True,9.9,8,Decreased,Medium,Decreased,False,False,No Change,Secure,Good,None,91.7,44,22,2,-1,3,0,2,1,0,0
996,Healthcare,True,7.4,7,Decreased,High,No Change,False,True,No Change,Secure,Excellent,Severe,64.0,30,4,3,0,4,3,2,1,0,1
997,Healthcare,False,9.4,2,Decreased,Medium,Decreased,False,False,No Change,Secure,Good,None,87.3,30,10,2,-1,3,0,2,0,0,0
998,IT,True,11.0,3,Decreased,Medium,Increased,True,False,Decreased,At Risk,Excellent,Moderate,28.2,62,23,2,1,4,2,0,1,1,0
999,Education,True,7.5,8,Decreased,Low,No Change,True,False,Decreased,Uncertain,Good,None,73.8,39,2,1,0,3,0,1,1,1,0
1000,IT,False,9.4,5,Decreased,Low,Increased,False,True,Increased,Secure,Good,None,99.8,31,11,1,1,3,0,2,0,0,1
1001,Education,True,10.8,3,Decreased,Medium,Increased,True,False,Decreased,Secure,Fair,Moderate,62.0,58,21,2,1,2,2,2,1,1,0
1002,Finance,True,9.3,8,Decreased,Medium,No Change,False,False,Decreased,At Risk,Good,Minor,36.7,37,3,2,0,3,1,0,1,0,0
1003,Education,True,10.7,5,Decreased,High,Increased,False,False,No Change,At Risk,Good,Moderate,37.9,35,10,3,1,3,2,0,1,0,0
1004,Healthcare,True,8.8,4,No Change,Medium,Decreased,False,False,Increased,Uncertain,Poor,Severe,37.0,55,9,2,-1,1,3,1,1,0,0
1005,IT,True,7.4,5,No Change,Medium,No Change,False,False,Decreased,Uncertain,Excellent,Minor,67.3,52,29,2,0,4,1,1,1,0,0
1006,Education,True,9.9,3,Decreased,High,No Change,True,True,Increased,At Risk,Fair,None,0.0,37,3,3,0,2,0,0,1,1,1
1007,Healthcare,True,6.6,3,Decreased,Medium,Decreased,False,False,No Change,Secure,Fair,Minor,76.2,60,5,2,-1,2,1,2,1,0,0
1008,Finance,True,7.0,7,Decreased,Low,Increased,False,False,Increased,At Risk,Good,Severe,56.5,45,25,1,1,3,3,0,1,0,0
1009,IT,True,6.5,3,Decreased,Medium,Increased,False,True,No Change,Secure,Excellent,Minor,94.9,51,18,2,1,4,1,2,1,0,1
1010,IT,True,6.8,3,Decreased,Medium,Decreased,False,False,No Change,Secure,Excellent,Moderate,90.7,47,11,2,-1,4,2,2,1,0,0
1011,Retail,True,8.2,7,Decreased,High,No Change,False,True,No Change,Uncertain,Good,None,38.3,58,6,3,0,3,0,1,1,0,1
1012,Education,True,6.8,7,Decreased,High,No Change,False,False,Decreased,At Risk,Fair,Moderate,19.8,53,28,3,0,2,2,0,1,0,0
1013,IT,True,8.7,4,Decreased,High,Increased,True,False,No Change,Secure,Good,Severe,60.6,45,4,3,1,3,3,2,1,1,0
1014,Finance,True,9.7,7,No Change,High,Decreased,False,False,Decreased,Secure,Excellent,None,73.1,22,2,3,-1,4,0,2,1,0,0
1015,IT,True,10.1,6,Decreased,Medium,No Change,True,True,No Change,Secure,Good,Moderate,70.4,60,12,2,0,3,2,2,1,1,1
1016,Healthcare,True,8.5,4,Decreased,Medium,Decreased,False,False,No Change,Secure,Fair,Minor,73.9,44,0,2,-1,2,1,2,1,0,0
1017,Healthcare,True,8.7,6,Decreased,Medium,Decreased,False,True,No Change,Secure,Good,Severe,77.1,44,16,2,-1,3,3,2,1,0,1
1018,Finance,True,9.0,8,Decreased,High,No Change,True,False,Increased,At Risk,Poor,Moderate,0.0,58,6,3,0,1,2,0,1,1,0
1019,Education,False,7.5,3,Decreased,Low,Increased,False,True,No Change,Secure,Poor,None,72.8,22,2,1,1,1,0,2,0,0,1
1020,Finance,False,8.1,3,Decreased,Medium,Increased,False,False,No Change,Uncertain,Good,None,72.5,55,14,2,1,3,0,1,0,0,0
